title,salary,company,description,location,city,state
senior data engineer,140000.0,bluefin,familiar with best practices for data ingestion and data design. identify necessary business rules for extracting data along with functional or technical risks…,"['atlanta', ' ga']",atlanta, ga
data science engineer,115871.09296740998,eteam inc.,"develop and support data pipelines to extract, transform and load data into google data center data warehouse. experience designing data models or table schema.","['chicago', ' il']",chicago, il
data engineer,119850.0,northrop grumman,drive the collection of new data and the refinement and aggregation of existing data sources. work closely with customers to understand and analyze data…,['maryland'],maryland,
sr. data engineer,135200.0,kani solutions,"10+ for sr data engineer with data lake architecture, design experience. 5+ for data engineer with strong spark skills. data warehouse: 2 years (preferred).","['columbus', ' oh']",columbus, oh
big data engineer,130000.0,datapattern,this team will work with developer’s architects’ business data analysts and data scientists on data initiatives and will ensure optimal data solutions.,"['las vegas', ' nv']",las vegas, nv
entry-level aws cloud data engineer,57000.0,quintrix,"these engineers are in high demand, so we are looking to train the right people while giving them experience using data knowledge to identify, retrieve, prepare…","['fairfax', ' va']",fairfax, va
"senior data engineer, us (remote)",115871.09296740998,andela talent network,"basic understanding of data structures, data in transit, and data at rest. 2+ years experience working in data intensive environments and platforms.","['boston', ' ma']",boston, ma
data acquisition and controls design engineer,98000.0,blue origin,"as part of a diverse and hardworking team of engineers, you will design and build data acquisition and control systems specifically focused for testing space…","['van horn', ' tx']",van horn, tx
sr. data engineer,115871.09296740998,ez texting,"architect and build data pipelines, data integrity testing, data security, and other data engineering infrastructure. 5+ years' experience writing complex sql.","['los angeles', ' ca']",los angeles, ca
data engineer,115871.09296740998,quevera llc,"develop data set processes for data modeling, mining, and production. four (4) years of experience in data engineering and technical data analysis.","['annapolis junction', ' md']",annapolis junction, md
data qa engineer,115871.09296740998,winwire technologies,• experience in testing of data solutions built in python*. • experience with testing of data solutions built in hadoop/hive tech stack *.,"['charlotte', ' nc']",charlotte, nc
data analytics engineer,115871.09296740998,ceras health inc,"integrate up-and-coming data management and software engineering technologies into existing data structures. develop set processes for data procurement, mining,…","['boston', ' ma']",boston, ma
senior data engineer,115871.09296740998,lextegrity,you will be building scalable data processing frameworks to use across clients and implementing it in data pipelines to process data from a diverse set of data…,['remote'],remote,
test data automation engineer rpa,135000.0,elevate government solutions,experience with data modeling and building data pipelines. enhance data collection procedures and develop data migration and wrangling scripts.,"['washington', ' dc']",washington, dc
data quality application infrastructure engineer,104000.0,"corporate systems associates, inc.","a basic understanding of databases, data ingestion frameworks, data manipulation, and data flow principles and best practices, and a desire to learn new data…",['remote'],remote,
